Fid,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,Type,Date_Time,Label,results
180.149.153.234-10.42.0.211-80-52477-6,C1335108214,33,M,28007,M1823072687,28007,es_transportation,139375.54,CASH_OUT,2019-12-16 02:01:23+09,0,0
10.42.0.211-64.71.142.120-33210-443-6,C652364872,34,F,28007,M1823072687,28007,es_transportation,292025.01,CASH_OUT,2019-12-16 02:01:56+09,1,1
151.101.21.63-10.42.0.211-443-48106-6,C919751066,60,F,28007,M1823072687,28007,es_transportation,75177.77,CASH_OUT,2019-12-16 02:05:17+09,0,0
172.217.11.10-10.42.0.211-443-37236-6,C1379814778,50,F,28007,M85975013,28007,es_food,170142.19,CASH_OUT,2019-12-16 02:05:38+09,0,0
10.42.0.151-52.86.189.192-53698-443-6,C1703648667,47,F,28007,M1823072687,28007,es_transportation,1350099.06,CASH_OUT,2019-12-16 02:05:44+09,0,0
172.217.10.238-10.42.0.151-443-55739-6,C231044523,49,M,28007,M348934600,28007,es_transportation,610195.13,CASH_OUT,2019-12-16 02:06:03+09,1,1
10.42.0.211-10.42.0.1-27914-53-17,C1343106500,39,F,28007,M348934600,28007,es_transportation,185820.04,CASH_OUT,2019-12-16 02:07:47+09,0,0
10.42.0.151-98.139.180.180-45069-443-6,C846889180,39,M,28007,M348934600,28007,es_transportation,236367.0,CASH_OUT,2019-12-16 02:10:05+09,0,0
172.217.10.110-10.42.0.151-443-59237-6,C698318224,24,F,28007,M1823072687,28007,es_transportation,10317.09,CASH_OUT,2019-12-16 02:11:29+09,0,0
10.42.0.211-66.198.24.243-47351-80-6,C747590731,34,F,28007,M348934600,28007,es_transportation,23001.7,CASH_OUT,2019-12-16 02:15:27+09,1,1
10.42.0.211-10.42.0.1-45656-53-17,C57136184,53,F,28007,M348934600,28007,es_transportation,76900.79,CASH_OUT,2019-12-16 02:15:07+09,0,0
172.217.7.195-10.42.0.211-443-51735-6,C1400128034,39,M,28007,M1823072687,28007,es_transportation,6704.09,CASH_OUT,2019-12-16 02:15:07+09,0,0
182.22.24.124-10.42.0.42-443-38543-6,C1656381290,53,F,28007,M1823072687,28007,es_transportation,1856.43,CASH_OUT,2019-12-16 02:16:29+09,1,1
10.42.0.151-103.235.46.39-57329-80-6,C2087715408,44,F,28007,M85975013,28007,es_food,293410.04,CASH_OUT,2019-12-16 02:40:20+09,0,0
172.217.10.42-10.42.0.151-443-53401-6,C281893917,50,M,28007,M1823072687,28007,es_transportation,365558.2,CASH_IN,2019-12-16 02:41:53+09,0,0
172.233.128.50-10.42.0.211-80-41283-6,C282411136,47,M,28007,M1823072687,28007,es_transportation,172975.35,CASH_OUT,2019-12-16 02:43:06+09,1,1
10.42.0.211-103.235.46.39-45084-80-6,C1962407385,34,M,28007,M1823072687,28007,es_transportation,13596.67,CASH_OUT,2019-12-16 02:45:37+09,0,0
172.217.12.174-10.42.0.151-443-44508-6,C170484334,41,M,28007,M1823072687,28007,es_transportation,5773.25,PAYMENT,2019-12-16 02:46:21+09,1,1
10.42.0.211-88.212.201.194-47044-443-6,C1740393527,32,F,28007,M1823072687,28007,es_transportation,101445.08,PAYMENT,2019-12-16 02:46:40+09,0,0
10.42.0.151-10.42.0.1-8525-53-17,C222098023,47,M,28007,M1823072687,28007,es_transportation,256651.77,CASH_IN,2019-12-16 02:49:40+09,1,1
10.42.0.211-10.42.0.1-18163-53-17,C602544155,33,M,28007,M1823072687,28007,es_transportation,2192264.29,PAYMENT,2019-12-16 02:50:16+09,0,0
10.42.0.211-31.13.71.1-56380-443-6,C1903765775,55,M,28007,M349281107,28007,es_fashion,329894.28,PAYMENT,2019-12-16 02:50:49+09,0,0
175.100.207.231-10.42.0.151-443-45970-6,C1903765775,31,M,28007,M1600850729,28007,es_fashion,304694.15,CASH_IN,2019-12-16 02:50:50+09,1,1
10.42.0.42-23.194.140.226-54700-80-6,C447373253,34,M,28007,M1823072687,28007,es_transportation,1618462.33,CASH_OUT,2019-12-16 03:00:30+09,0,0
10.42.0.211-23.194.110.7-33238-443-6,C369115109,55,F,28007,M1823072687,28007,es_transportation,8701.2,PAYMENT,2019-12-16 03:01:14+09,1,1
10.42.0.151-106.11.14.99-38702-443-6,C1882920635,31,M,28007,M348934600,28007,es_transportation,12869.87,PAYMENT,2019-12-16 03:01:40+09,0,0
198.105.244.11-10.42.0.211-80-40091-6,C1708261114,33,F,28007,M85975013,28007,es_food,16308.14,PAYMENT,2019-12-16 03:03:34+09,0,0
151.101.1.140-10.42.0.211-443-34099-6,C1355357191,31,F,28007,M480139044,28007,es_health,57746.41,PAYMENT,2019-12-16 03:03:56+09,1,1
10.42.0.211-61.155.222.80-55879-80-6,C1355357191,53,F,28007,M50039827,28007,es_health,5978.83,CASH_OUT,2019-12-16 03:12:08+09,0,0
